ep_id,title,season,ep_num,air_date,description,imdb_rate,show_id
0592907,Enough Is Enough,2,2,02 Oct 2005,"After a fatal car accident, a man, a woman and their son are patients in the Seattle Grace hospital. The injuries of the mother reveal a family secret. Another patient has swallowed something strange, but refuses to reveal what. On the personal level, Meredith and Cristina try to get along with the ending of their relationships. While Meredith tries to avoid Shepherd, Cristina and Burke are involved in the same medical cases. George feels uncomfortable still working with Olivia, who wants him to forgive her.—SSS",8.1,413573
0592913,Make Me Lose Control,2,3,09 Oct 2005,"When Meredith's mother, Ellis, is brought to the hospital Ellis' illness is no longer a secret. George is chosen to take care of famous Ellis Grey, who thinks he is her husband Thatcher. Alex and Izzie become friends, very much to the objection of the other doctors. Derek is still mad at his wife, who tries to use her charm to make him forgive her. Christina passes out during an operation revealing her pregnancy to Dr. Burke. Dr. Webber is back as the head of the hospital.—SSS",8.6,413573
0592906,"Deny, Deny, Deny",2,4,16 Oct 2005,"After her surgery, Cristina tries to cope with her curious mother, the questions of Dr. Burke and, of course, the tragic loss of her baby. She tries to seek distraction in her work. Addison gives Derek divorce papers and promises to leave town as soon as he signs them. Meredith is willing to get back together with Derek, but does not want to give in, as long as he is still married. George is still appointed to take care of Ellis Grey, who thinks she is still working as a surgeon in the hospital. Another patient who Dr. Bailey has known for a long time is very close to death and gives her a lot of trouble.—Sab",8.3,413573
0592905,Bring the Pain,2,5,23 Oct 2005,"A storm rages in Seattle. Izzie is very disappointed by her date with Alex, and Meredith is upset with Derek. They both complain to George, which drives him crazy. At the hospital, Cristina is assigned a patient who uses porn as a pain killer, and Meredith takes care of an Asian girl who needs to see a Shaman before surgery. There is a power shortage, and George and Alex are stuck in an elevator with a critical patient. They need to perform heart surgery, but Alex is too freaked out, so George does it.—Anonymous",8.5,413573
0592910,Into You Like a Train,2,6,30 Oct 2005,"A train wreck brings in multiple casualties, leaving Meredith hanging for her answer. Meanwhile, Alex finds working without his mojo a disheartening experience, and Cristina searches high and low for a missing appendage.",9.0,413573
0592920,Something to Talk About,2,7,06 Nov 2005,"Addison and Derek go to marriage counseling. Derek says that he's finished with Meredith. Meanwhile, Meredith becomes the main gossip topic in the hospital and Izzie and Christina discover a pregnant man. Preston tells the Chief about him and Christina and Alex finally kisses Izzie.—Anonymous",8.1,413573
0592912,Let It Be,2,8,13 Nov 2005,"Friends of Derek and Addison come from New York for a preventative surgery that causes discord among both couples. Meanwhile, George helps a man who has fallen from a roof, and Bailey delivers news to the Chief.",7.9,413573
0592922,Thanks for the Memories,2,9,20 Nov 2005,"Thanksgiving sends the occupants of Meredith's house in different directions: Meredith escapes to the hospital, George goes hunting with his family, and Izzie throws a dinner to which it appears no one is coming.",8.4,413573
0592914,Much Too Much,2,10,27 Nov 2005,"Meredith's one night stand causes complications when he shows up at the hospital with an embarrassing problem. Meanwhile, Burke tries to push Cristina toward the next step, and Alex's problems affect his performance.",8.0,413573
0592916,Owner of a Lonely Heart,2,11,04 Dec 2005,"The mother of the quints blames herself. Meanwhile, Izzy becomes attached to her patient, Karev must face the consequences of his actions, and Cristina takes care of an inmate desperate to stay at the hospital.",8.1,413573
0592908,Grandma Got Run Over by a Reindeer,2,12,11 Dec 2005,"Christmas hits Seattle, with Izzie caring for a man who fell from his roof while hanging decorations. Meanwhile, Cristina helps perform a heart transplant on a depressed boy, and George has to contend with the family from Hell.",8.1,413573
0592903,Begin the Begin,2,13,15 Jan 2006,"Izzie becomes attracted to a male patient with a heart condition, and George treats Bex, an intersex patient. Meanwhile, Meredith's mother receives a visitor, and Derek and Addison's relationship is still rocky.",8.2,413573
0592921,Tell Me Sweet Little Lies,2,14,22 Jan 2006,"Meredith must choose between her dog and her roommates. Meanwhile, George deals with an elderly patient who has outstayed her welcome, Bailey's pregnancy has complications, Alex gets his exam results, and Richard has a strike on his hands.",7.9,413573
0592904,Break on Through,2,15,29 Jan 2006,"The nurses strike, leaving the doctors unprepared for their extra duties. Cristina and Burke have to define their work relationship, Izzie relates to a pregnant teenager, and Meredith finds parallels to her mother in a case requiring her to remove life support.—layle",8.3,413573
0592911,It's the End of the World,2,16,05 Feb 2006,"The lives of everyone in the OR are threatened when a patient enters with a bomb inside him, and a young paramedic with her arm inside the cavity is the only thing keeping it from going off.",9.4,413573
0759138,As We Know It,2,17,12 Feb 2006,"While the man with the bomb lodged in his chest remains in Burke's OR with Meredith's hand in the cavity, Bailey's injured husband remains in Derek's. Meanwhile, Bailey's distress puts her unborn baby at risk.",9.4,413573
0760706,Yesterday,2,18,19 Feb 2006,"Derek and Addison are shaken by the arrival of a figure from their past. Meanwhile, Burke learns Cristina's secret, Izzie deals with a very unusual case, Meredith delves into her family's dirty laundry, and George pours his heart out.",8.3,413573
0759839,What Have I Done to Deserve This?,2,19,26 Feb 2006,"Meredith and George face the consequences of their actions, Izzie gets closer to Denny, who has been readmitted, and Addison asks for Bailey's help with an embarrassing ailment.",8.1,413573
0763962,Band-Aid Covers the Bullet Hole,2,20,12 Mar 2006,"Cristina babysits for Bailey and does not take to it well at all. Meanwhile, Addison and Derek come to terms with their relationship, George connects with Callie, and Denny continues to come between Alex and Izzie.",8.0,413573
0763963,Superstition,2,21,19 Mar 2006,"Superstition strikes, with the interns convinced a series of deaths will occur. A complication from the LVAD surgery puts Denny in the OR, Cristina plans to make George move out, and Richard's old AA sponsor is admitted for treatment.",8.1,413573
0772483,The Name of the Game,2,22,02 Apr 2006,"George overstays his welcome with Burke, Meredith learns a secret about her father, Bailey worries that her colleagues will treat her differently now that she is a mother, and Alex gets a lesson in bedside manners.—Anonymous",8.1,413573
0776002,Blues for Sister Someone,2,23,30 Apr 2006,"While Izzie grills George about the personal details of his life, Addison takes Alex to task about a sensitive case. Also, Burke feels the pressure when he treats his musical hero, and Meredith considers dating a hunky vet.—Alex",7.9,413573
0782343,Damage Case,2,24,07 May 2006,"Derek lets his emotions run away from him, and Burke and Izzie make a new suggestion to Denny. Meanwhile, the interns treat a family involved in an auto accident, Callie makes Meredith and Izzie uncomfortable, and Addison strikes back at Alex.—Alex",8.4,413573
0789452,17 Seconds,2,25,14 May 2006,"George works a case with Derek, while Meredith works with Callie. Meanwhile, Finn gives an update on Doc's health, and Burke and Izzie keep looking for a heart for Denny.—Alex",9.0,413573
0789453,Deterioration of the Fight or Flight Response,2,26,15 May 2006,"Burke is admitted as a patient, along with Richard's niece. Izzie and the others fight to keep Denny alive, while Alex tries to secure the donor heart for him.",9.0,413573
0805280,Losing My Religion,2,27,15 May 2006,"Richard is determined to discover the guilty party, and punishes the interns by making them arrange a prom for his niece. Meanwhile, Callie presses George about his feelings, and Derek and Meredith have to make a decision about Doc.",9.3,413573
0854774,Time Has Come Today,3,1,21 Sep 2006,"The doctors of Seattle Grace help Izzie cope with the loss of her fiancé, Denny, and her decision to quit the internship program. Meredith must decide what the future holds after her hospital liaison with Derek. The Chief is confronted by his wife, Adele, after spending the night in his office, and George seeks relationship advice from a surprising source.—Alex",8.4,413573
0865668,I Am a Tree,3,2,28 Sep 2006,"Patients include a teenage boy with a tree run through him, a man with a tumor on his brain that forces him to be honest, and a patient who goes all out on living before her surgery as the interns begin to go all out on Bailey to ask Izzie to come back to Seattle Grace; Dr. Burke's mother goes all out on breaking Cristina's will; Addison goes all out with the bottle because she found some interesting pocket fanfare in her husband's tuxedo after the prom; and Callie goes all out to make George jealous.—Moviedude1",8.1,413573
0874558,Sometimes a Fantasy,3,3,05 Oct 2006,"Cristina refuses to quit, like she thinks Preston has. Finn and Derek refuse to quit on Meredith, who insists that they date her. Izzie won't quit standing out front of Seattle Grace, waiting for the time she feels is right to see Dr. Webber. Mark won't quit on giving up on Addison, who now realizes her marriage to Derek is over. And Alex wishes she would quit picking him as her intern in the OB-GYN department.—Moviedude1",8.0,413573
0877110,What I Am,3,4,12 Oct 2006,"Denny's father (Fred Ward) visits Izzie and gives her something that will change everything. Meanwhile, Meredith is diagnosed with appendicitis and while waiting for emergency surgery and high on morphine has a talk with Addison for the first time since Addison found the panties. Mark ""McSteamy"" Sloan starts working at the hospital and Alex wants to work under him instead of Addison because Mark has a patient with severe facial burns. And while Callie and George break up, Meredith finally picks one man.—Anonymous",8.2,413573
0852787,"Oh, the Guilt",3,5,19 Oct 2006,"Guilt causes different actions in everyone, the interns are allowed to attend an M&M meeting, and Derek and Addison finalize things.",8.0,413573
0877109,Let the Angels Commit,3,6,02 Nov 2006,"Derek's sister comes to Seattle for a visit, and seems more into the extended family and gossip surrounding his divorce from Addison than into him. Meanwhile, the interns are not the only ones jealous of Cristina's opportunity to scrub in with Preston on a ""Humpty Dumpty"" procedure, and Bailey takes it personally when she learns she's been scrubbed, herself. George works with Addison on a very unusual case and Alex envies him.—Moviedude1",7.9,413573
0877112,Where the Boys Are,3,7,09 Nov 2006,"What was supposed to be a solitary fishing trip for Derek turns into a group outing with some interesting additions, Addison and Callie care for a pregnant woman who slipped and fell, and Meredith and McSteamy treat a sexual reversal surgery candidate.—layle",8.0,413573
0900569,Staring at the Sun,3,8,16 Nov 2006,Some of the staff feel the family strings calling as George deals with his father being admitted and it really hits home when a nanny backs her car into one of her charges. Addison steps in when she discovers Sloane using his interns as personal slaves. The walls begin to close in on Cristina and Preston's secret and Meredith vows to be a little more cheery.—Moviedude1,8.0,413573
0906402,From a Whisper to a Scream,3,9,23 Nov 2006,"A traumatic car accident fills the ER. Cristina has a crisis of conscience about her deceptive teamwork with Burke, Izzie pushes the boundaries of her probation, and Callie tries to explain herself to George.",8.6,413573
0903412,Don't Stand So Close to Me,3,10,30 Nov 2006,"Dr. Weber finally confronts the issue of suitable punishment for Burke & Cristina. Burke contemplates how to heal his hand tremors. Over Derek's initial objections, much of the staff participate in a tricky separation of adult conjoined twins, who spend much of their screen time in entertaining bickering. Sloan continues his professional and sexual harassment, but finds Izzy isn't taking much of it. George is angry at everyone in sight, but shows late hints of returning to his former self. His father gets a new heart valve via Dr. Hahn and Cristina. Bailey maintains her own standards while questioning Richard's discipline. Meredith's half-sister, Molly, comes in for an emergency C-section; Addison taps Mere as the liaison to Molly and her mom as Addison operates on the baby. Step-mom offers to be Meredith's extra family, but Mere rejects her, having enough trouble with her house-mates ... not to mention Ellis, who is ranting about Richard returning to his wife. Mere and Ellis finally meet in the present for a moment. Mere also begs the gang to let Cristina ""off the hook"" for her transgressions, reminding them that they've all fallen far short of ethical standards at one time or another.—norcekri",8.1,413573
0917048,Six Days: Part 1,3,11,11 Jan 2007,"George's father continues to fight his cancer, while Preston fights Cristina's attempts to find out how he's doing without showing that she really cares. Derek fights with his feelings when he has trouble sleeping with Meredith's snoring, while Meredith fights over her feelings regarding her father, who's visiting his new granddaughter. Izzie fights with Miranda over her multi-million dollar check that Denny left her and has yet to deposit.—Moviedude1",8.3,413573
0931862,Six Days: Part 2,3,12,18 Jan 2007,"Bailey tells Izzie that paying for a patient's operation was once again crossing the line, but when she has to perform a risky intubation on George's father, she realizes that Izzie is not the only one who gets emotionally involved. Meredith, in the meanwhile, has to face her father and Derek has to face the snoring. Addison and Alex avoid each other awkwardly and we learn that Addison was pregnant with Mark. In the end, a deaths strikes the hospital and Burke says he had no tremors since his second surgery.—Anonymous",8.6,413573
0935486,Great Expectations,3,13,25 Jan 2007,"When everyone finds out Richard is stepping down they all throw their own name in the hat as his replacement including Mark, who was leaving until he found out about it, too. Bailey gets the idea of a free clinic, as Addison avoids the subject of kissing one of her interns and George deals with a cancer patient after losing his dad for the same reason.—Moviedude1",8.2,413573
0948266,Wishin' and Hopin',3,14,01 Feb 2007,"Izzie opens the Free Clinic with an eye on the money she has donated. Callie and George open the Free Clinic with an eye on each other. Bailey opens the Free Clinic with a young girl coming into womanhood without a mother. Alex takes Izzie along to open up the Free Clinic, looking for more patients. Meanwhile, at Seattle Grace, Meredith's mother is admitted, Cristina ponders Preston's proposal, and the doctors all fight toxic blood gases from a patient.—Moviedude1",8.5,413573
0940133,Walk on Water,3,15,08 Feb 2007,"Meredith is still reeling from the time spent with her mother, and Derek is getting concerned. Meanwhile, Cristina seems to be delaying her announcement, and everything is put aside when a disaster occurs and each intern is faced with treatment decisions and tasks they are not equipped for.—layle",8.8,413573
0962364,Drowning on Dry Land,3,16,15 Feb 2007,"Cristina keeps an eye out around the hospital for Meredith to tell her about her impending nuptials. Izzie fights for the life of her patient, still trapped between two vehicles on the ferry and Derek also searches for Meredith, wondering where she's disappeared to. Alex gets the job of notifying friends and family members about the status of loved ones.—Moviedude1",9.0,413573
0962365,Some Kind of Miracle,3,17,22 Feb 2007,"An unconscious Meredith interacts with some ghosts from her past while Richard, Burke and Bailey devise an unusual method of reviving her. A despondent Cristina leaves during her shift, and Derek speaks his mind to Meredith's mother.",8.5,413573
0971628,Scars and Souvenirs,3,18,15 Mar 2007,"A Korean war veteran with a bullet lodged in his shoulder is admitted. Meanwhile, tensions escalate between Izzie and George, Callie reveals a big secret, Cristina contends with an old flame, and Alex continues to work with the Jane Doe.",8.1,413573
0964281,My Favorite Mistake,3,19,22 Mar 2007,"In his hung-over state, George does not remember the night before. Izzie does, but doesn't tell him. George goes to meet Callie's father, his new father-in-law. During the lunch, George remembers that he slept with Izzie. The hospital board begins interviewing the candidate for the Chief's position. Cristina struggles with what to do about marrying Burke. Meanwhile, Alex helps Jane Doe to figure out how she wants her face to look after the reconstructive surgery.—Anonymous",8.0,413573
1001867,Time After Time,3,20,19 Apr 2007,"Izzie faces her past and finds comfort in George, while Alex becomes more attached to Jane Doe, Meredith and Derek question their own status, and Cristina resolves to fight for her relationship with Burke -- despite her past with Colin Marlow.—ABCMediaNet",8.0,413573
0998426,Desire,3,21,26 Apr 2007,"The Chairman of Seattle Grace's board of directors is admitted, and the attendings vie for his favor, while the interns study for exams. Izzy and George are reminded of their infidelity, and Burke presses Cristina about wedding plans.",7.9,413573
1011450,"The Other Side of This Life, Part 1",3,22,03 May 2007,"In an effort to wind down a little bit and get away from the men in her life, Addison takes a vacation to sunny California, while the guys in her life wonder what's up with her. Izzie and George continue to try and fight fate, and almost get caught together in the elevator by Callie and Jane Doe continues to grow closer to her doctor.—Moviedude1",6.9,413573
1011451,"The Other Side of This Life, Part 2",3,23,03 May 2007,"Addison takes temporary leave from Seattle Grace and makes a road trip to Los Angeles in order to visit some old friends from medical school. As Meredith continues to bond with her stepmother, Susan, Cristina reluctantly plans her wedding with the assistance of her mother, Helen, and Burke's mother, Mama Jane. Meanwhile, Derek must perform emergency surgery on Ava/Jane Doe, as Alex continues his unfailing bedside manner with her.—ABCMediaNet",7.2,413573
1017765,Testing 1-2-3,3,24,10 May 2007,"The interns take the biggest test of their careers, their first-year medical exams, as the residents attend to three injured mountain climbers. Meanwhile Callie's suspicions of George and Izzie grow, and Cristina struggles to write her wedding vows.—ABCMediaNet",8.4,413573
1020626,Didn't We Almost Have It All?,3,25,17 May 2007,Richard finds out about Adele's pregnancy. The interns get their results. Cristina and Preston's wedding day arrives and there's a surprise in store. Ava/Rebecca's husband comes looking for her. George and Callie make a major decision in their relationship. The new interns arrive.—DarkenedHeart,8.7,413573
1002868,A Change Is Gonna Come,4,1,27 Sep 2007,"The interns, now residents, deal with their own crops of interns. Callie struggles with her new position, and Burke makes a decision.",8.0,413573
1002879,Love/Addiction,4,2,04 Oct 2007,"Lexie persists in trying to get to know Meredith, and Mama Burke descends once more.",7.8,413573
1002883,Let the Truth Sting,4,3,11 Oct 2007,"Callie hides in her office, frustrating Bailey who's itching to teach someone. Elsewhere, age becomes the theme as Izzie tries to convince 'Really Old Guy' he shouldn't die, Webber and Sloan set out to prove they're not too old to learn a new technique, and Karev is saddled with an intern who's past his prime.—layle",8.0,413573
1002884,The Heart of the Matter,4,4,18 Oct 2007,"Meredith and her intern lose a patient after they give her the wrong diagnosis, Callie confronts Izzie, and McDreamy bonds with the other Grey.",7.9,413573
1002885,Haunt You Every Day,4,5,25 Oct 2007,"Meredith finds herself incapable of dealing with the issues surrounding her mother. Cristina finds it a little harder to get ahead in the heart surgery department, but finds herself bonding with Callie, who can't seem to keep her marriage together. Sydney attempts to get closer to Derek, who doesn't want to get close to anyone, while Halloween presents the hospital with a rather unique form of trick or treating.—Moviedude1",7.9,413573
1002886,Kung Fu Fighting,4,6,01 Nov 2007,"A man survives a parachute accident without serious injury, two women refuse treatment because of a wedding contest, and Cristina and Izzie jockey for inclusion in Hahn's surgeries.",7.9,413573
1002887,Physical Attraction... Chemical Reaction,4,7,08 Nov 2007,"Hahn bans Cristina from her service, Bailey covers more and more of Torres' duties, and Izzie and George go to extreme lengths to recapture the magic of their first encounter.",7.8,413573
1002888,Forever Young,4,8,15 Nov 2007,"Bailey crosses the line when the guy she had a crush on in high school shows up in the ER during an onslaught of high school students involved in a bus crash. The Grey sisters run and hide when their father shows up drunk, while Derek tries to get back into the dating scene with another doctor and Cristina tries her best to get back into Hahn's good graces.—Moviedude1",8.0,413573
1002889,Crash Into Me: Part 1,4,9,22 Nov 2007,"An accident in the ER bay leaves two paramedics fighting for their lives, and a third who refuses Bailey's care. Meanwhile, Alex juggles two women, and Lexie begins to bond with a patient.",8.5,413573
1002869,Crash Into Me: Part 2,4,10,06 Dec 2007,"Tragedy abounds for everyone at Seattle Grace as they all continue in efforts to get the paramedic out of the overturned ambulance, stop the bleeding of a man who won't quit, and a bigot with a Nazi tattoo on his stomach. On the personal side, Rebecca returns to spend time with Alex, Miranda's husband finds it harder to wait for her while she's in surgery, and Cristina still tries to get on Hahn's good side, even though Bailey has put her elsewhere.—Moviedude1",8.4,413573
1002870,Lay Your Hands on Me,4,11,10 Jan 2008,"Bailey's son comes to the ER, Derek takes a housing step that puts pressure on Meredith, Izzie has a crisis of faith, and Cristina's choice may change her course with Hahn.",7.9,413573
1002871,Where the Wild Things Are,4,12,24 Apr 2008,"The judgment of the residents is skewed by a competition, Meredith tries therapy and a bear attack may be more than it appears.",8.0,413573
1002872,Piece of My Heart,4,13,01 May 2008,"Addison is not prepared for all the changes that greet her upon her return to Seattle Grace for a specialized surgery, Meredith and Derek begin their clinical trial, Izzie feels left out, and Karev is confronted with an unexpected announcement.—layle",8.2,413573
1002873,The Becoming,4,14,08 May 2008,"The new clinical trial patient has a secret, Yang is dealt a blow from a distance by Burke, the nurses refuse to work with Sloan, and Meredith's therapist tells her some home truths.",8.0,413573
1002874,Losing My Mind,4,15,15 May 2008,"Meredith's therapist tries a different tactic in not allowing her to give up and quit her therapy, while Cristina's therapy consist of taking it out on everyone around her. In an effort to turn over a new leaf, Sloan's therapy consists of being loved for his mind instead of his body, while Bailey counsels her child for hitting other children in day care, and both Derek and the Chief are getting the cold shoulder from the ladies in their life.—Moviedude1",8.0,413573
1002875,Freedom: Part 1,4,16,22 May 2008,"A surgical team battles the clock as they try to save a boy encased in cement, Karev's situation with an ever-disintegrating Ava brings back painful memories that interfere with his judgment, Derek and Meredith have one last chance at their clinical trial.—layle",8.6,413573
2373009,Freedom: Part 2,4,17,22 May 2008,"Meredith and Derek are at odds over whether or not to continue with their 13th clinical trial patient and the doctors lift the final critical pieces of cement from the young boy's body. Meanwhile, Alex rushes Ava into the hospital and is forced to confront the reality of her condition.—Nadia Nassar",8.8,413573
1263280,Dream a Little Dream of Me: Part 1,5,1,25 Sep 2008,"Meredith and Derek find that ""happily ever after"" isn't as easy as they hoped, Cristina finds interest in a military doctor, and the Chief is surprised to hear that Seattle Grace is no longer ranked as a top-tier teaching hospital.",8.2,413573
2373007,Dream a Little Dream of Me: Part 2,5,2,25 Sep 2008,"As a group of best friends deal with the aftermath of their car crash, Dr. Torres takes the lead on a groundbreaking course of treatment for one of the patients. Meanwhile, Major Hunt starts to irritate other attendings with his presence in the hospital.—Nadia Nassar",8.2,413573
1263295,Here Comes the Flood,5,3,09 Oct 2008,"Determined to reverse Seattle Grace's slide into mediocrity, the chief lays down some new rules for interns and residents with which no one's happy. Derek asks Meredith for further changes in her living arrangements. Lexie challenges Cristina's diagnosis for a patient with a persistent headache, and the chief's preoccupation with reputation blinds him to problems with the physical plant.—layle",8.1,413573
1263296,Brave New World,5,4,16 Oct 2008,Callie worries over her first real date with Erica. Cristina stumbles upon a neglected area of the hospital.,8.3,413573
1263297,There's No 'I' in Team,5,5,23 Oct 2008,"George's first day as a resident includes being on a team of surgeons who is performing six kidney transplants in one day, which helps to distract him in seeing that Lexie has feelings for him. Meanwhile, Callie has problems in taking her relationship to the next level with Erica, and Meredith feels slighted when her name is left out of the medical journal report on her clinical trial with Derek.—Moviedude1",8.3,413573
1263298,Life During Wartime,5,6,30 Oct 2008,"The new military doctor brings a new training method to the residents and interns for dealing with trauma, while Miranda is presented with the task of treating a ten year old girl with an illness that's considered inoperable by many, including Dr. Hahn. Callie questions her preferences, while Meredith stumbles across an old doll while going through some of her mother's things, Lexi avoids George for not asking for her as an intern, and Alex questions what he and Izzie have between them.—Moviedude1",8.2,413573
1263299,Rise Up,5,7,06 Nov 2008,"The residents compete for the opportunity to be the first one to solo, but Izzie's demons return in the form of a patient of Dr. Hahn's, who finds out the real reason her patient still is waiting for a heart. The interns steal cadavers for practice, then have to fight the residents off to keep them.—Moviedude1",8.3,413573
1263300,These Ties That Bind,5,8,13 Nov 2008,"Meredith's best friend from college shows up on her doorstep and Cristina feels threatened by it. Meredith thinks Sloan is putting the moves on her half-sister and asks Derek to intervene, while the interns practice sutures on each other and Izzie still feels Denny's presence. Hahn is suddenly gone from Seattle Grace and everyone immediately feel at odds over her replacement.—Moviedude1",7.9,413573
1263301,In the Midnight Hour,5,9,20 Nov 2008,"The interns ask for help from Cristina and Meredith when their back room ""study group"" has a set back while Izzie continues to wrestle things in her mind by herself. Patients include a father of a teenager who refuses to sleep because she doesn't feel safe and a hypochondriac whose prognosis is not as bad as she feared, but the proposed cure is worse.—Moviedude1",8.2,413573
1263281,All by Myself,5,10,04 Dec 2008,"The race for a resident's first solo surgery comes down to Cristina, who was disqualified because of the actions of her interns, while at the same time is put under pressure to secure the services of a new head in the cardio department. Patients include a couple of sisters who were in a car accident and a woman whose surgery may, or may not, enable her to talk again.—Moviedude1",8.3,413573
1338329,Wish You Were Here,5,11,08 Jan 2009,"Bailey doesn't see eye-to-eye with the new pediatric surgeon on a case she's been involved in for some time. Derek doesn't see eye-to-eye with a patient who's on death row. Alex doesn't see eye-to-eye with the other man in Izzie's life because he's not real, and Meredith and Cristina don't see eye-to-eye on anything, which means they aren't talking and Cristina looks elsewhere to vent. Callie and Mark DO see eye-to-eye on their own personal problem though, which makes for some interesting times for each.—Moviedude1",8.1,413573
1263282,Sympathy for the Devil,5,12,15 Jan 2009,"Derek refuses to let a death row inmate die from injuries sustained in a prison riot, Miranda refuses to let a little boy die because he can't get the badly-needed transplant, Denny refuses to let his relationship with Izzie die, Lexie won't let her budding relationship with Mark die, and Derek's visiting mother puts everyone's mother first on priority lists.—Moviedude1",8.6,413573
1263283,Stairway to Heaven,5,13,22 Jan 2009,Derek's death row patient attempts suicide and Meredith looks the other way while everybody scrambles for an organ donor. Lexie keeps stumbling into walls after putting Mark in a compromising position. Denny intensifies his time with Izzie and Cristina doesn't know what to think of her Army doctor with problems.—Moviedude1,9.0,413573
1263284,Beat Your Heart Out,5,14,05 Feb 2009,"Cristina carries on an intense flirtation with Owen, Derek gets advice from everyone on how to propose, Izzie gets some tests done, and Bailey's promotion may stand in the way of a new career possibility.",8.3,413573
1263285,Before and After,5,15,12 Feb 2009,"Owen runs into someone very special from his past. Izzie employs her fellow doctors in a medical game made to help teach the interns. Naomi, Sam and Addison rush Archer to Seattle Grace and meet with Derek and Mark to save his life.",8.1,413573
1379395,An Honest Mistake,5,16,19 Feb 2009,A mistake in the clinic mixes Izzie's test results with someone else's and sends her on a mission; a mistake by a general surgeon sends Cristina on a mission of her own; a mistake in the operating room by Derek sends him over the edge and ends up squaring off with Addison over a patient.—Moviedude1,8.6,413573
